[ 2025-08-02 14:28:09,990 ] 14 root - INFO - Initiate the data ingestion
[ 2025-08-02 14:28:11,454 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-02 14:28:11,454 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-02 14:28:11,455 ] 66 root - INFO - Exporting train and test file path.
[ 2025-08-02 14:28:11,506 ] 69 root - INFO - Exported train and test file path.
[ 2025-08-02 14:28:11,507 ] 16 root - INFO - Data Initiation Completed
[ 2025-08-02 14:28:11,515 ] 20 root - INFO - Initiate the data validation
[ 2025-08-02 14:28:11,541 ] 32 root - INFO - Required number of columns:2
[ 2025-08-02 14:28:11,541 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-02 14:28:11,541 ] 32 root - INFO - Required number of columns:2
[ 2025-08-02 14:28:11,541 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-02 14:28:11,695 ] 22 root - INFO - data validation completed
