[ 2025-08-03 09:09:59,878 ] 16 root - INFO - Initiate the data ingestion
[ 2025-08-03 09:10:01,352 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-03 09:10:01,352 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-03 09:10:01,352 ] 66 root - INFO - Exporting train and test file path.
[ 2025-08-03 09:10:01,397 ] 69 root - INFO - Exported train and test file path.
[ 2025-08-03 09:10:01,398 ] 18 root - INFO - Data Initiation Completed
[ 2025-08-03 09:10:01,403 ] 22 root - INFO - Initiate the data validation
[ 2025-08-03 09:10:01,422 ] 32 root - INFO - Required number of columns:2
[ 2025-08-03 09:10:01,423 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-03 09:10:01,423 ] 32 root - INFO - Required number of columns:2
[ 2025-08-03 09:10:01,423 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-03 09:10:01,523 ] 24 root - INFO - data validation completed
[ 2025-08-03 09:10:01,523 ] 27 root - INFO - data Transformation started
[ 2025-08-03 09:10:01,523 ] 54 root - INFO - Entered initiate data transformation
[ 2025-08-03 09:10:01,523 ] 56 root - INFO - Starting data transformation
[ 2025-08-03 09:10:01,544 ] 44 root - INFO - Entered get data transformer object method
[ 2025-08-03 09:10:01,544 ] 47 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-03 09:10:01,544 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-03 09:10:01,556 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-03 09:10:01,556 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-03 09:10:01,556 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-03 09:10:01,556 ] 31 root - INFO - data transformation completed
[ 2025-08-03 09:10:01,556 ] 33 root - INFO - Model Training started
[ 2025-08-03 09:11:10,753 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-03 09:11:10,754 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-03 09:11:10,754 ] 113 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_03_2025_09_09_57\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914236706689536, precision_score=0.9897260273972602, recall_score=0.993127147766323), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9700942236788201, precision_score=0.9618196588139724, recall_score=0.9785123966942149))
[ 2025-08-03 09:11:10,757 ] 37 root - INFO - Model Training artifact created
